qid,query
train_136,Who saved the Jamaican^3 fleet from a gale
train_137,"How many vessels bottom upwards were in the Jamaican^3 Frances^3 ""Jamaican Frances""^4"
train_138,How much of the Jamaica^3 fleet must have foundered
train_139,"How many associate judges of the Supreme^3 Court^3 of the United^3 States^3 was William^3 Patterson^3 ""Supreme Court""^4 ""United States""^4 ""William Patterson""^4"
train_140,"What court is William^3 Patterson^3 an associate judge of ""William Patterson""^4"
train_141,"How old was Thomas^3 Seide^3 when he died ""Thomas Seide""^4"
train_142,"How long was Thomas^3 Sedee^3 s life ""Thomas Sedee""^4"
train_143,"How long has it taken for Thomas^3 Seide^3 to die in Gloucester^3 county ""Thomas Seide""^4"
train_144,How many citizens have died within the space of two years
train_145,How old are the citizens of Gloucester^3 county
train_146,"Who was the son of Mr^3 Gold^3 and Mr^3 Thomas^3 Peirce^3 ""Mr Gold""^4 ""Mr Thomas Peirce""^4"
train_147,"Who is the son of GEORGE^3 Hart^3 ""GEORGE Hart""^4"
train_148,What country are the newly varnished MAPS^3 of
train_149,Who was the owner of 17^2 160^2 1474^2 71^2 42^2
train_150,"How many acres of land were in Lot^3 No^3 2^2 3^2 and 6^2 ""Lot No""^4"
train_151,"How many acres are in Lot^3 No^3 2^2 3^2 4^2 5^2 6^2 and 135^2 106^2 ""Lot No""^4"
train_152,"What is the Lot^3 No^3 in Range^3 11th^2 ""Lot No""^4"
train_153,"What is the number of Lot^3 No^3 2^2 4^2 in the e Range^3 11th^2 ""Lot No""^4"
train_154,How many acres are in Range^3 11th^2
train_155,How many acres of land is in Range^3 11th^2
train_156,"What is the Lot^3 No^3 in Range^3 12th^2 ""Lot No""^4"
train_157,How many acres are in Range^3 12th^2
train_158,"What is the Lot^3 No^3 in Range^3 13th^2 ""Lot No""^4"
train_159,How many acres of land is in Range^3 13th^2
train_160,How many acres are in Range^3 13th^2
train_161,How many acres of land is in Range^3 14th^2
train_162,"How much is the State^3 tax in N^3 B^3 ""N B""^4"
train_163,"How many mills is the State^3 tax in N^3 B^3 ""N B""^4"
train_164,What is the school tax on the hundred acres
train_165,How many lots are in the Range^3 1st^2
train_166,How many acres is the State^3 tax on
train_167,How many acres are in Range^3 2nd^2
train_168,How many lots are in the range 1st^2
train_169,How many lots are in the 3rd^2 Range^3
train_170,How many lots are in the Range^3 3rd^2
train_171,"How many mills is the state tax on lots in B^3 C^3 ""B C""^4"
train_172,How many lots are in Range^3 3rd^2
train_173,"How many acres are in the Lot^3 No^3 4th^2 ""Lot No""^4"
train_174,How many acres are in Lot^3 4th^2
train_175,"How many acres are in Lot^3 No^3 1^2 2^2 3^2 4^2 ""Lot No""^4"
train_176,How many acres is the lot number in Range^3 5th^2
train_177,How many lots are in Range^3 6th^2
train_178,"How many acres is Lot^3 No^3 2^2 ""Lot No""^4"
train_179,"How many acres are in Lot^3 No^3 6th^2 ""Lot No""^4"
train_180,How many acres are in Lot^3 6th^2
train_181,What is the number on the lot in Range^3 8th^2
train_182,How many acres are in Lot^3 8th^2
train_183,"How many acres is Lot^3 No^3 5^2 6^2 7^2 8^2 ""Lot No""^4"
train_184,How many acres are in Lot^3 2^2 3^2 4^2
train_185,How many acres are in Lot^3 2^2 3^2 4^2 5^2
train_186,How many acres are in Lot^3 2^2 3^2 4^2 5^2 6^2 7^2 8^2
train_187,"How many acres are in Lot^3 No^3 2^2 4^2 7^2 8^2 ""Lot No""^4"
train_188,"How many acres are in Lot^3 No^3 2^2 4^2 7^2 8^2 9^2 ""Lot No""^4"
train_189,How many lots are in the Range^3 11th^2
train_190,"Who is the name of the person who will be the speaker of the TURNER^3 s Ordinary^3 Ball^3 ""Ordinary Ball""^4"
train_191,"Who is the ESQ^3 of Mr^3 TURNER^3 s Ordinary^3 Ball^3 ""Mr TURNER""^4 ""Ordinary Ball""^4"
train_192,"Whose^3 Ordinary^3 Ball^3 will take place on September^2 01^2 1805^2 ""Whose Ordinary Ball""^4"
train_193,"Who recently owned a farm in Brookfield^3 N^3 H^3 ""Brookfield N H""^4"
train_194,What is the name of the company that is GRELEABLE^3 to the act of incorporation
train_195,"What is the CHOICE^3 OF OFFICERS^3 in the New^3 Hampshire^3 TRADING^3 COMPANY^3 ""CHOICE OF OFFICERS""^4 ""New Hampshire TRADING COMPANY""^4"
train_196,"Who was the colonel that GRELEABLE^3 to the act of incorporation in the New^3 Hampshire^3 TRADING^3 COMPANY^3 ""New Hampshire TRADING COMPANY""^4"
train_197,Which country is the right one to support
train_198,Which country is the just cause of England^3
train_199,What country did Madison^3 feel he had ignited a flame in
train_200,What country had an interest in America^3
train_201,What country did Madison^3 think Britain^3 had an interest in
train_202,When did Madison^3 charge the order of November^2 01^2 1809^2
train_203,Who charged the order of November^2 01^2 1808^2 with stabbing the vital principles of American^2 independence
train_204,What was the date of Madison^3 s letter to Erskine^3
train_205,How many millions did the diminution in imports and exports amount to
train_206,What country imported cotton wool from America^3
train_207,"How much cotton wool did Great^3 Britain^3 import from America^3 ""Great Britain""^4"
train_208,"Who wrote The Honest^3 Politician^3 ""The Honest Politician""^4"
train_209,"Along^3 with Bayard^3 Hillhouse^3 Lloyd^3 Pickering^3 and White^3 who voted to expunge the clause in the bill ""Bayard Hillhouse Lloyd Pickering""^4"
train_210,Who vindicated every outrage and innovation of Britain^3
train_211,Who did the Federalists^3 impute a wish so treasonable to
train_212,Who did the federalists know more about than Bonaparte^3
train_213,"How much affection did Pickering^3 say between New^3 York^3 and New^3 England^3 ""New York""^4 ""New England""^4"
train_214,What state did Pickering^3 say there was no no dimits 3o^2 affection between
train_215,"Who said The state of New^3 York^3 when she looks to her compass Joe^3 will see that the needle points to the north ""New York""^4"
train_216,"What state did Hillhouse^3 toast at the federal feast in New^3 Haven^3 ""New Haven""^4"
train_217,"Along^3 with Great^3 Britain^3 what country did Essex^3 Junto^3 want to form an alliance with ""Great Britain""^4 ""Essex Junto""^4"
train_218,"Who was a member of the Essex^3 Junto^3 caucus ""Essex Junto""^4"
train_219,How many parties did not propose the Potomac^3
train_220,Which state should be one of the two sovereignties
train_221,"Along^3 with Delaware^3 and New^3 Jersey^3 what other state was left to form a central sovereignty ""New Jersey""^4"
train_222,"On what day of the week is the sale of A Valuable^3 Lot^3 of LAND^3 held ""A Valuable Lot""^4"
train_223,When is the public auction held in Portsmouth^3
train_224,"How long is the front of the lot on Vaughn^3 Street^2 ""Vaughn Street""^4"
train_225,When did the non resident proprietors and owners of land in the town of Antrim^3 pay their highway taxes
train_226,Who is the Major^3 in the town of Antrim^3
train_227,"Who is in the great right to lots No^3 10^2 Paul^3 Abbot^3 in the great right No^3 6^2 Elijah^3 Woodbury^3 Collector^3 ""Paul Abbot""^4 ""Elijah Woodbury Collector""^4"
train_228,Who appointed the committee to receive and examine the claims of creditors to the estate of SAMUEL^3
train_229,Who was the Collector^3 of Sutton^3 in 1800^2
train_230,"How many acres of land did Reuben^3 Morse^3 own ""Reuben Morse""^4"
train_231,When will most of the land in Sutton^3 be sold
train_232,Who was the owner of the land in Sutton^3 in 1800^2
train_233,"How many acres of land did William^3 Bell^3 have ""William Bell""^4"
train_234,"How old was Edward^3 Eastman^3 when he died ""Edward Eastman""^4"
train_235,"How many years old was Ephraim^3 Morris^3 ""Ephraim Morris""^4"
train_236,When will the highest bidder be notified of the sale of their lands in Swanzey^3
train_237,"What is the phone number of Joseph^3 Towle^3 ""Joseph Towle""^4"
train_238,Who is the name of the man who sold the Tuftonborough^3 land
train_239,Who is the collector of Tuftonborough^3 land
train_240,"What is the phone number of Jonathan^3 Wedgwood^3 ""Jonathan Wedgwood""^4"
train_241,"What is the phone number of James^3 Marathon^3 ""James Marathon""^4"
train_242,"What is the phone number of Coffin^3 Page^3 ""Coffin Page""^4"
train_243,On what day will land in Tuftonborough^3 be sold
train_244,"Who owned 100^2 acres of land in New^3 London^3 ""New London""^4"
train_245,"How many acres did Moses^3 Canney^3 have ""Moses Canney""^4"
train_246,"How many acres did John^3 Stevens^3 have ""John Stevens""^4"
train_247,"What was the name of the man who owned 150^2 acres in New^3 London^3 ""New London""^4"
train_248,"How many acres did Joseph^3 Page^3 have ""Joseph Page""^4"
train_249,Who sold 120^2 acres of land in Tuftonborough^3
train_250,"How many acres was HENRY^3 WIGGIN^3 jr Collector^3 ""HENRY WIGGIN""^4"
train_251,"How many acres did Col^3 Mat^3 w Thornton^3 have ""Col Mat""^4"
train_252,"How many acres was Joseph^3 Bean^3 Esq^2 ""Joseph Bean Esq""^4"
train_253,"Who is the Esq^2 of 7^2 acres in New^3 London^3 ""New London""^4"
train_254,"What year was SILAS^3 MESERVE^3 Collector^3 of the 62d^2 and 634th^2 collection district ""SILAS MESERVE Collector""^4"
train_255,Who was the Collector^3 of the 62d^2 and 634th^2 collection district
train_256,"Who continues to Inoculate^3 for the Kine^3 Pox^3 at his new lodgings at Mr^3 Thomas^3 Morton^3 s ""Kine Pox""^4 ""Mr Thomas Morton""^4"
train_257,"Who opened a Bn1^2 Crockery^3 Glass^3 Ware^3 store in Market^2 Street^2 ""Bn1 Crockery Glass Ware""^4 ""Market Street""^4"
train_258,"Who opened Bn1^2 Crockery^3 Glass^3 Ware^3 ""Bn1 Crockery Glass Ware""^4"
train_259,"What is the name of the store opened by Isaac^3 Stanwood^3 ""Isaac Stanwood""^4"
train_260,Who was the late of Londonderry^3 innholder
train_261,"Who is the administrator of John^3 Allison^3 s estate ""John Allison""^4"
train_262,Who owns the dwelling house in Wolfeboro^3
train_263,When did the boat return to Charleston^3
train_264,When did a boat from Granby^3 return to Charleston^3
train_265,How long did it take for a boat to go out and return to Charleston^3
train_266,How long did it take for a boat to reach Charleston^3
train_267,Who wrote to the owners of the Supercargo^3 of the schr Messenger^3
train_268,"When was a letter from M^3 C^3 Watt^3 sent to his owners in Kingston^3 ""M C Watt""^4"
train_269,"How many leagues south of Cape^3 N^3 Mole^3 were captured by a French^3 barge ""Cape N Mole""^4"
train_270,How many leagues away from the destination was the French^3 barge
train_271,What organization was responsible for the capture of the French^3 barge
train_272,How long have there been several cases of fever on the west side of Jones^3 s falls to Fell^3 s Point^3
train_273,How many children were in Jones^3 s Falls^3
train_274,How many people died in Jones^3 s Falls^3
train_275,How many people died at Fell^3 s Point^3
train_276,How many people died at Fell^3 s Point^3 in the last 24^2 hours
train_277,When was the letter from Richmond^3 dated
train_278,Along^3 with Austria^3 with what country is there peace
train_279,Along^3 with France^3 and what other country is there peace to be rejoiced at
train_280,"How many Brothers^3 did Captain^3 Cox^3 sail on ""Captain Cox""^4"
train_281,How long prior to the Brothers^3 sailing had Gonnet^3 sent his demands to the governor
train_282,When was a stranger noticed in several shops at Succarappa^3
train_283,"When did the stranger break into the store of Mr^3 Hawes^3 ""Mr Hawes""^4"
train_284,"How many others were in the store of Mr^3 Hawes^3 ""Mr Hawes""^4"
train_285,How many other stores in the neighborhood had been broken open in the course of the week
train_286,How long did it take for a thief to break open a store in Succarappa^3
train_287,How many cavalry did the Mahrattas^3 have
train_288,"The Mahrattas^3 have the best cavalry in all what country ""The Mahrattas""^4"
train_289,How many ooib oos did Litchfield^3 have
train_290,What is the name of the man who was elected to the House^3 of Lords^3
train_291,"Along^3 with Foster^3 Tenney^3 Pierce^3 and Pierce^3 what other town is undoubtedly elected ""Foster Tenney Pierce""^4"
train_292,"How many towns are in favor of Messrs^3 Foster^3 Tenney^3 Pierce^3 and Dunham^3 ""Messrs Foster Tenney Pierce""^4"
train_293,When were the letters from London^3 dated
train_294,How many votes did Jefferson^3 get on the 1st^2 2nd^2 and 3rd^2 ballots
train_295,"Who was elected President^3 of the United^3 States^3 on the 1st^2 2nd^2 and 3rd^2 ballots ""United States""^4"
train_296,How many votes did Burr^3 get on the 1st^2 2nd^2 and 3rd^2 ballots
train_297,How many votes were divided on the 1st^2 2nd^2 and 3rd^2 ballots
train_298,"What was the name of the Secretary^3 of the United^3 States^3 ""United States""^4"
train_299,Who brought London^3 papers to December^2 14^2 1800^2
train_300,What country has proposed to the French^3 to evacuate Tuscany^3
train_301,"Along^3 with Sweden^3 and Denmark^3 Russia^3 and what other country has signed an armed confederacy ""Denmark Russia""^4"
train_302,"Along^3 with Russia^3 Prussia^3 Denmark^3 and what other country was an armed confederacy signed at Petersburg^3 ""Russia Prussia Denmark""^4"
train_303,"Along^3 with Russia^3 Prussia^3 Sweden^3 and Sweden^3 what country has signed an armed confederacy ""Russia Prussia Sweden""^4"
train_304,Along^3 with Lubeck^3 what city s merchants are afraid their bills will be protested
train_305,Which city s merchants fear their English^3 bills will be protested
train_306,What country s bills do the Hamburg^3 and Lubeck^3 merchants fear will be protested
train_307,Who presented an elegant sword to the captain of his frigate who opposed the English^3 in attempting to search the vessels under his convoy
train_308,Which government has adjusted the late demand of the Emperor^3 of Russia^3
train_309,"The Turkish^3 government has adjusted the late demand of the Emperor^3 of what country ""The Turkish""^4"
train_310,Who is considering placing Corsica^3 out of the control of the Constitution^3
train_311,Who is the youngest member of Napoleon^3 s family to serve in the French^3 navy
train_312,What city in Curacao^3 is being made a free port
train_313,"On what day did Gen^2 Bowles^3 Indians^3 arrive in Nassau^3 ""Gen Bowles Indians""^4"
train_314,"What group of people did Gen^2 Bowles^3 represent ""Gen Bowles""^4"
train_315,Who arrived in LANCASTER^3 on February^2 27^2 1801^2 last
train_316,"What country did Virginia^3 elect a President^3 and Vice^3 President^3 for ""Vice President""^4"
train_317,How many elections were there in Virginia^3 1800^2
train_318,"What state passed a bill authorizing certain persons to build a dam across the Great^3 Egg^3 Harbour^3 River^3 ""Great Egg Harbour River""^4"
train_319,"How much was the value of the real and personal estates within the state of New^3 York^3 assessed under a law for raising money for the state ""New York""^4"
train_320,What city s papers were sent to December^2 09^2 1800^2
train_321,What country had re commenced hostilities with the Austrians^3
train_322,How many pieces of artillery did the Austrians^3 lose
train_323,How many prisoners did Moreau^3 say were lost to the Austrians^3
train_324,When did an article from Milan^3 mention that the armies of Italy^3 were in fight of each other
train_325,In what month and year did the article from Milan^3 mention that the armies of Italy^3 were in fight of each other
train_326,"When did a Paris^3 article say that the Pacific^3 Congress^3 continued in session at Luneville^3 ""Pacific Congress""^4"
train_327,Who did Burr^3 write to to say he would not come in President^3 by the influence of the federal party
train_328,"On what day did M^3 Clay^3 tarry at the Capitol^3 ""M Clay""^4"
train_329,"How many armed men did M^3 Clay^3 have at the Capitol^3 ""M Clay""^4"
train_330,"Who was elected President^3 of the United^3 States^3 in 1801^2 ""United States""^4"
train_331,How many causes can Jefferson^3 be attributed to if he is elected
train_332,Who was the memorial to Thomas^3 signed by the most respectable federal gentlemen of the city
train_333,In which body did the majority of ballots vote for Burr^3
train_334,"Who has been appointed a Senator^3 of the United^3 States^3 ""United States""^4"
train_335,When was the letter dated to Baltimore^3
train_336,On what day was the annual meeting held in this town
train_337,Who was the senate candidate for 94^2
train_338,"What is the title of Hon^3 John^3 Langdon^3 ""Hon John Langdon""^4"
train_339,"How long was the sloop Enterprise^3 from St^3 Vincents^3 ""St Vincents""^4"
train_340,"When did Capt^3 Rollins^3 sail to Grenada^3 ""Capt Rollins""^4"
train_341,How long was the brig Alligator^3 from Demarara^3
train_342,"Who delivered the brig Henry^3 Jones^3 Bath^3 Jehkr^3 Unicorn^3 Blue^3 Hill^3 Bay^3 sloop Dispatch^3 ""Henry Jones Bath Jehkr Unicorn Blue Hill Bay""^4"
train_343,Who was the Capt^3 of the Portsmouth^3 brig
train_344,Who was spoken January^2 21^2 1801^2 lat 25^2 6^2 long 60^2 4^2
train_345,What political party did Macon^3 belong to
train_346,Who did Macon^3 join abandoned men who supported
train_347,Who was the gentleman from Connecticut^3 who said Erskine^3 had no full power to do what he did
train_348,Who did France^3 have to do to suspend the operation of the embargo act
train_349,Who did the British^2 government disagree with
train_350,Who wrote the first letter without feeling insulted
train_351,Who did the British^2 government send with instructions to repeal the embargo
train_352,How long did it take England^3 to stand the embargo
train_353,"What country did the United^3 States^3 want to settle their differences with ""United States""^4"
train_354,How much effect will the embargo have on England^3
train_355,What was the date of Jackson^3 s message
train_356,What government may appoint Jackson^3 s agent
train_357,The case of the Executive^3 and who has been compared to common life
